osm_id,ZT13,,,,,,,,,,,,,,,,
165325232,10,165325232,-165325232,,,,,,,,,,,,,,
457309753,14,-43710578,,,,,,,,,,,,,,,
24263070,14,24263070,,,,,,,,,,,,,,,
48921992,34,48921992,,,,,,,,,,,,,,,
25367028,3,25367028#0,25367028#1,-25367028#0,-25367028#1,,,,,,,,,,,,
36597165,28,36597165,,,,,,,,,,,,,,,
465649967,8,465649967#0,,,,,,,,,,,,,,,
165257880,11,165257880#0,165257880#1,165257880#2,,,,,,,,,,,,,
515326366,11,165257880#0,,,,,,,,,,,,,,,
399697652,13,399697652,-399697652,,,,,,,,,,,,,,
20112792,2,20112792#0,20112792#1,20112792#2,20112792#3,-20112792#0,-20112792#1,-20112792#2,-20112792#3,,,,,,,,
25367322,2,25367322,,,,,,,,,,,,,,,
129587034,2,129587034,,,,,,,,,,,,,,,
455715711,2,455715711,-455715711,,,,,,,,,,,,,,
19896203,14,19896203#0,19896203#1,,,,,,,,,,,,,,
60116375,14,60116375,,,,,,,,,,,,,,,
19896202,20,19896202,,,,,,,,,,,,,,,
422539714,20,19896202,,,,,,,,,,,,,,,
403521404,51,403521404,-403521404,,,,,,,,,,,,,,
165265062,16,165325607,-165325607,,,,,,,,,,,,,,
165325607,16,165325607,-165325607,,,,,,,,,,,,,,
164976438,6,164976438#0,164976438#1,,,,,,,,,,,,,,
45560932,39,45560932#0,,,,,,,,,,,,,,,
19900948,14,19900948,-19900948,,,,,,,,,,,,,,
464935941,41,464935941#1,-464935941#1,,,,,,,,,,,,,,
111771067,3,111771067,-111771067,,,,,,,,,,,,,,
111771071,3,111771071#0,111771071#1,-111771071#0,-111771071#1,,,,,,,,,,,,
329988460,3,329988460#0,329988460#1,-329988460#0,-329988460#1,,,,,,,,,,,,
41258976,5,41258976#1,-41258976#1,,,,,,,,,,,,,,
111771070,5,41258976#1,-41258976#1,,,,,,,,,,,,,,
465656094,5,465656094#1,-465656094#1,,,,,,,,,,,,,,
455083994,7,455083994#1,-455083994#1,,,,,,,,,,,,,,
48680975,9,48680975#1,-48680975#1,,,,,,,,,,,,,,
165217827,9,165217827#0,165217827#1,-165217827#0,-165217827#1,,,,,,,,,,,,
455083993,9,48680975#1,-48680975#1,,,,,,,,,,,,,,
435429811,20,435429811,,,,,,,,,,,,,,,
165325605,6,165325605,-165325605,,,,,,,,,,,,,,
313639754,6,313639754,,,,,,,,,,,,,,,
313639760,6,313639760#0,,,,,,,,,,,,,,,
165325225,28,165325226#0,165325226#1,,,,,,,,,,,,,,
165325226,28,165325226#0,165325226#1,,,,,,,,,,,,,,
274693147,34,274693147,,,,,,,,,,,,,,,
415626770,34,415626770#1,415626772#1,,,,,,,,,,,,,,
415626772,34,415626772#0,,,,,,,,,,,,,,,
45560666,35,45560666,,,,,,,,,,,,,,,
95218183,48,95218183#1,95218183#0,-95218183#0,,,,,,,,,,,,,
4320453,50,4320453,,,,,,,,,,,,,,,
19900946,14,19900946#0,19900946#1,,,,,,,,,,,,,,
19899281,3,19899281,-19899281,,,,,,,,,,,,,,
103974914,3,103974914#1,103974914#3,103974914#4,103974914#5,,,,,,,,,,,,
162975557,3,162975557,,,,,,,,,,,,,,,
103896396,5,103896396#1,103896396#2,,,,,,,,,,,,,,
103974912,5,103896396#3,,,,,,,,,,,,,,,
19899376,3,19899376,,,,,,,,,,,,,,,
25367086,3,25367086,,,,,,,,,,,,,,,
8140256,5,8140256#2,,,,,,,,,,,,,,,
4320471,7,4320471#0,4320471#3,4320471#6,,,,,,,,,,,,,
422636127,15,422636127#0,422636127#1,,,,,,,,,,,,,,
19895490,18,19895490#0,19895490#1,19895490#2,,,,,,,,,,,,,
422636128,18,422636128#1,422636128#2,,,,,,,,,,,,,,
356391518,29,356391518,,,,,,,,,,,,,,,
356391520,29,356391520,,,,,,,,,,,,,,,
356391516,34,356391516,,,,,,,,,,,,,,,
19895959,18,19895959#0,19895959#1,19895959#2,19895959#3,19895959#5,,,,,,,,,,,
43710577,10,43710577,-43710577,,,,,,,,,,,,,,
20112463,2,20112463#0,20112463#1,20112463#2,,,,,,,,,,,,,
492899792,2,492899792,-492899792,,,,,,,,,,,,,,
352392847,14,352392847#0,352392847#1,-385754230,,,,,,,,,,,,,
38700726,3,38700726#2,38700726#5,38700726#6,38700726#7,38700726#8,38700726#10,38700726#11,38700726#12,-38700726#2,-38700726#5,-38700726#6,-38700726#7,-38700726#8,-38700726#10,-38700726#11,-38700726#12
165217829,3,165217829,-165217829,,,,,,,,,,,,,,
474555863,10,474555863#0,-474555863#0,,,,,,,,,,,,,,
474555867,10,474555867#0,474555867#2,-474555867#0,-474555867#2,,,,,,,,,,,,
352392845,14,352392845,-352392845,,,,,,,,,,,,,,
376479646,14,376479646#0,376479646#1,376479646#2,376479646#3,376479646#4,376479646#5,376479646#7,376479646#8,376479646#9,,,,,,,
467514126,14,467514126,,,,,,,,,,,,,,,
344947790,48,344947790,-344947790,,,,,,,,,,,,,,
20112793,2,20112793,,,,,,,,,,,,,,,
165334551,39,165334551,-165334551,,,,,,,,,,,,,,
41551807,45,41551807#0,41551807#1,-41551807#0,-41551807#1,,,,,,,,,,,,
465381271,45,465381271,-465381271,,,,,,,,,,,,,,
465380605,49,465381269,-465381269,,,,,,,,,,,,,,
465381269,49,465381269,-465381269,,,,,,,,,,,,,,
329795964,50,329795964#1,-329795964#1,,,,,,,,,,,,,,
453989316,50,453989316,-453989316,,,,,,,,,,,,,,
465380603,50,465380603,-465380603,,,,,,,,,,,,,,
465380604,50,465380604,-465380604,,,,,,,,,,,,,,
458438675,51,458438675,-458438675,,,,,,,,,,,,,,
458438683,51,458438683,-458438683,,,,,,,,,,,,,,
165334552,39,165334552,-165334552,,,,,,,,,,,,,,
165334553,39,165334553,-165334553,,,,,,,,,,,,,,
20112458,2,20112458#0,20112458#1,20112458#2,20112458#3,20112458#4,20112458#5,20112458#7,20112458#8,,,,,,,,
20112467,3,20112467,-20112467,,,,,,,,,,,,,,
36672936,6,-308658929#0,-36672937#1,36672937#1,,,,,,,,,,,,,
37722302,6,37722302#1,-37722302#1,,,,,,,,,,,,,,
354710422,6,354710422,-354710422,,,,,,,,,,,,,,
456353760,10,456353760#0,-456353760#0,,,,,,,,,,,,,,
36672938,11,36672938#1,36672938#2,-36672938#1,-36672938#2,,,,,,,,,,,,
36672937,12,36672937#0,,,,,,,,,,,,,,,
308658929,12,308658929#0,,,,,,,,,,,,,,,
37723610,13,37723610#1,-37723610#1,,,,,,,,,,,,,,
465418193,16,465418193,-465418193,,,,,,,,,,,,,,
219132792,18,219132792,-219132792,,,,,,,,,,,,,,
455083996,18,455083996,-455083996,,,,,,,,,,,,,,
465418192,18,219132792,-219132792,,,,,,,,,,,,,,
219132791,22,219132791#0,-219132791#0,,,,,,,,,,,,,,
19912054,9,19912054,,,,,,,,,,,,,,,
25367228,2,25367228,,,,,,,,,,,,,,,
455713129,2,25367228,,,,,,,,,,,,,,,
80209250,20,80209250,,,,,,,,,,,,,,,
370125649,20,80209250,,,,,,,,,,,,,,,
370125650,20,370125650#1,370125650#2,370125650#3,370125650#4,,,,,,,,,,,,
19896824,27,19896824#0,19896824#1,,,,,,,,,,,,,,
374956190,48,374956190,-374956190,,,,,,,,,,,,,,
374956193,48,374956193#0,374956193#2,,,,,,,,,,,,,,
19937715,51,19937715#0,19937715#1,19937715#2,19937715#3,,,,,,,,,,,,
480220937,51,480220937,,,,,,,,,,,,,,,
165325229,36,165325229,,,,,,,,,,,,,,,
454842388,36,454842388,,,,,,,,,,,,,,,
60116376,41,60116376#0,60116376#1,,,,,,,,,,,,,,
454842389,41,60116381,,,,,,,,,,,,,,,
60116383,48,60116376#2,,,,,,,,,,,,,,,
329796314,48,329796314#0,329796314#1,329796314#2,,,,,,,,,,,,,
374956189,48,374956189#0,374956189#1,,,,,,,,,,,,,,
463676555,4,463676555#0,463676555#1,463676555#2,463676555#3,463676555#4,463676555#7,,,,,,,,,,
39442470,5,39442470#0,,,,,,,,,,,,,,,
113861079,6,450956616,-450956616,,,,,,,,,,,,,,
450956616,6,450956616,-450956616,,,,,,,,,,,,,,
465653666,12,465653666,-465653666,,,,,,,,,,,,,,
465653669,12,465653669,-465653669,,,,,,,,,,,,,,
465653670,12,465653669,-465653669,,,,,,,,,,,,,,
39442471,14,39442471,-39442471,,,,,,,,,,,,,,
114875712,15,465653668,-465653668,,,,,,,,,,,,,,
114875727,15,465653668,-465653668,,,,,,,,,,,,,,
456318009,15,465653668,-465653668,,,,,,,,,,,,,,
465653668,15,465653668,-465653668,,,,,,,,,,,,,,
60116382,20,60116382#0,60116382#1,60116382#2,,,,,,,,,,,,,
422539631,20,422539631,-422539631,,,,,,,,,,,,,,
274693142,32,274693142#0,274693142#2,274693142#3,,,,,,,,,,,,,
396642608,41,396642608#1,,,,,,,,,,,,,,,
396642609,43,396642609#0,,,,,,,,,,,,,,,
464897412,43,464897412#1,,,,,,,,,,,,,,,
4883068,47,4883068#2,4883068#3,4883068#4,,,,,,,,,,,,,
13503101,47,13503101#0,13503101#1,,,,,,,,,,,,,,
215446976,50,215446976#2,,,,,,,,,,,,,,,
320900388,36,320900388#0,320900388#1,,,,,,,,,,,,,,
320900389,40,320900389#0,320900389#1,320900389#2,320900389#3,320900389#4,,,,,,,,,,,
475251116,40,475251116,,,,,,,,,,,,,,,
41551804,42,41551804,,,,,,,,,,,,,,,
19908068,46,19908068#0,19908068#1,,,,,,,,,,,,,,
454238789,43,454238789,,,,,,,,,,,,,,,
39368241,44,39368241#1,39368241#2,39368241#3,,,,,,,,,,,,,
454238788,44,454238788,,,,,,,,,,,,,,,
126011883,40,126011883,,,,,,,,,,,,,,,
48921997,47,48921997#0,48921997#1,48921997#2,48921997#3,48921997#4,48921997#5,48921997#6,,,,,,,,,
464892586,50,464892586,,,,,,,,,,,,,,,
464892587,50,464892587,,,,,,,,,,,,,,,
329694554,7,329694554#5,329694554#8,329694554#11,329694554#14,329694554#17,,,,,,,,,,,
461254933,7,461254933#1,461254933#2,,,,,,,,,,,,,,
219132793,11,219132793,,,,,,,,,,,,,,,
219132794,18,219132794#0,219132794#1,219132794#2,,,,,,,,,,,,,
300414148,23,300414148#1,,,,,,,,,,,,,,,
329384216,23,329384216,,,,,,,,,,,,,,,
4320454,34,4320454#0,4320454#1,4320454#2,,,,,,,,,,,,,
329384213,34,329384213#0,329384213#2,329384213#3,329384213#4,,,,,,,,,,,,
453989325,34,453989325,,,,,,,,,,,,,,,
453989324,38,453989324,,,,,,,,,,,,,,,
19900947,14,19900947#0,19900947#1,,,,,,,,,,,,,,
464894857,48,464894857,-464894857,,,,,,,,,,,,,,
464894862,48,464894862,-464894862,,,,,,,,,,,,,,
464894863,48,464894862,-464894862,,,,,,,,,,,,,,
464896844,48,464896844,-464896844,,,,,,,,,,,,,,
132220912,50,132220912,-132220912,,,,,,,,,,,,,,
453989321,50,453989321,-453989321,,,,,,,,,,,,,,
457924062,50,457924062,-457924062,,,,,,,,,,,,,,
200638843,3,200638843#1,,,,,,,,,,,,,,,
329988459,3,329988459#0,329988459#1,329988459#2,329988459#3,,,,,,,,,,,,
133806980,6,133806980#0,133806980#1,,,,,,,,,,,,,,
354710423,6,354710423,-354710423,,,,,,,,,,,,,,
377233443,10,377233443,-377233443,,,,,,,,,,,,,,
464718641,10,464718641,-464718641,,,,,,,,,,,,,,
60116377,14,60116377#0,60116377#1,,,,,,,,,,,,,,
60116379,14,60116379,-60116379,,,,,,,,,,,,,,
356391598,14,356391598,-356391598,,,,,,,,,,,,,,
464718640,14,356391598,-356391598,,,,,,,,,,,,,,
48678925,10,48678925,,,,,,,,,,,,,,,
141607352,46,141607352#0,141607352#1,141607352#2,,,,,,,,,,,,,
20112457,2,20112457,-20112457,,,,,,,,,,,,,,
20318499,48,20318499,,,,,,,,,,,,,,,
454001075,48,454001075#0,454001075#1,,,,,,,,,,,,,,
19937716,51,19937716#0,19937716#1,19937716#2,,,,,,,,,,,,,
39368249,32,39368249#0,,,,,,,,,,,,,,,
39368249,33,39368249#0,,,,,,,,,,,,,,,
86980320,32,86980320,-86980320,,,,,,,,,,,,,,
464943571,32,86980320,-86980320,,,,,,,,,,,,,,
34144392,34,34144392#0,,,,,,,,,,,,,,,
48921998,34,453989323#0,,,,,,,,,,,,,,,
329384205,34,329384205,,,,,,,,,,,,,,,
453989322,34,453989322,,,,,,,,,,,,,,,
453989323,34,453989323#0,,,,,,,,,,,,,,,
48921991,39,48921991#0,48921991#1,,,,,,,,,,,,,,
393659757,39,393659757#3,,,,,,,,,,,,,,,
19908076,44,19908076#0,19908076#1,19908076#2,19908076#3,19908076#4,,,,,,,,,,,
26442468,45,26442468#0,26442468#2,,,,,,,,,,,,,,
115794578,49,115794578#1,,,,,,,,,,,,,,,
36675277,50,36675277,-36675277,,,,,,,,,,,,,,
215446977,50,215446977#1,-215446977#1,,,,,,,,,,,,,,
453989327,50,453989327,-453989327,,,,,,,,,,,,,,
36675279,51,36675279#0,-36675279#0,,,,,,,,,,,,,,
126012206,51,126012206,-126012206,,,,,,,,,,,,,,
126012207,51,126012207#1,-126012207#1,,,,,,,,,,,,,,
191563437,9,465411710#0,-465411710#0,,,,,,,,,,,,,,
465408858,9,465408858#1,-465408858#1,,,,,,,,,,,,,,
465408860,9,465408860#1,-465408860#1,,,,,,,,,,,,,,
465411709,9,465411709,-465411709,,,,,,,,,,,,,,
465411710,9,465411710#0,-465411710#0,,,,,,,,,,,,,,
465411713,9,465411713#0,-465411713#0,,,,,,,,,,,,,,
465411714,9,465411715#1,-465411715#1,,,,,,,,,,,,,,
465411715,9,465411715#1,-465411715#1,,,,,,,,,,,,,,
165257881,13,165257881#0,-165257881#0,,,,,,,,,,,,,,
455083999,13,455083999,-455083999,,,,,,,,,,,,,,
461254935,13,461254935,-461254935,,,,,,,,,,,,,,
465413237,22,465413240#1,-465413240#1,,,,,,,,,,,,,,
465413238,22,465413238,-465413238,,,,,,,,,,,,,,
465413240,22,465413240#1,-465413240#1,,,,,,,,,,,,,,
465413243,22,465413243#1,-465413243#1,,,,,,,,,,,,,,
465413249,30,465413249,-465413249,,,,,,,,,,,,,,
465585477,30,465585477#1,-465585477#1,,,,,,,,,,,,,,
41258632,39,465586406,-465586406,,,,,,,,,,,,,,
329384208,39,329384208,-329384208,,,,,,,,,,,,,,
80278547,9,80278547#0,,,,,,,,,,,,,,,
38956598,8,38956598#1,-38956598#1,,,,,,,,,,,,,,
19892255,11,19892255#0,19892255#1,19892255#2,19892255#4,19892255#5,,,,,,,,,,,
25366817,6,25366817,-25366817,,,,,,,,,,,,,,
19899374,3,19899374#0,19899374#1,,,,,,,,,,,,,,
25367021,3,25367021#0,25367021#1,-25367021#0,-25367021#1,,,,,,,,,,,,
21343730,22,21343730,,,,,,,,,,,,,,,
129587031,2,129587031,-129587031,,,,,,,,,,,,,,
129587033,2,129587031,-129587031,,,,,,,,,,,,,,
352905264,2,41651789,-41651789,,,,,,,,,,,,,,
352905266,2,41651789,,,,,,,,,,,,,,,
453299277,2,492899793#0,492899793#1,-492899793#0,-492899793#1,,,,,,,,,,,,
492899793,2,492899793#0,492899793#1,-492899793#0,-492899793#1,,,,,,,,,,,,
366840862,2,366840862#0,366840862#1,366840862#2,366840862#3,366840862#5,366840862#6,366840862#7,,,,,,,,,
366840862,2,366840861,,,,,,,,,,,,,,,
39368243,44,39368243,,,,,,,,,,,,,,,
19894612,20,19894612,,,,,,,,,,,,,,,
15834351,48,15834351,,,,,,,,,,,,,,,
19899784,4,19899784,,,,,,,,,,,,,,,
118119100,4,118119100,,,,,,,,,,,,,,,
118119100,5,118119100,,,,,,,,,,,,,,,
454867946,4,454867946,,,,,,,,,,,,,,,
19899780,6,19899780,,,,,,,,,,,,,,,
19899781,6,19899781,,,,,,,,,,,,,,,
19899782,6,19899782,,,,,,,,,,,,,,,
313639762,6,313639762,,,,,,,,,,,,,,,
19914256,14,19914256,,,,,,,,,,,,,,,
104476236,14,104476236#0,104476236#1,,,,,,,,,,,,,,
118116148,5,118116148,,,,,,,,,,,,,,,
19895495,14,19895495,,,,,,,,,,,,,,,
104476237,15,104476237,,,,,,,,,,,,,,,
34287027,36,34287027,,,,,,,,,,,,,,,
458303421,36,458303421,,,,,,,,,,,,,,,
